,station_id,lat,lng,pickup_count,dropoff_count,total_trips,cluster
266,415,40.7047177,-74.00926027,23961,24397,48358,12
267,3318,40.7839636,-73.94716729999999,23837,24477,48314,25
268,3305,40.781122299341654,-73.94965589046478,23738,24147,47885,25
269,321,40.69991755,-73.98971773,23971,23828,47799,20
270,3466,40.75668720603179,-73.98257732391356,23867,23839,47706,11
271,3119,40.74232744,-73.95411749,23782,23918,47700,22
272,522,40.75714758,-73.97207836,23699,23810,47509,4
273,362,40.75172632,-73.98753523,23824,23606,47430,26
274,3232,40.68962188790333,-73.98304268717766,21519,25351,46870,20
275,323,40.69236178,-73.98631746,23570,23284,46854,20
276,398,40.69165183,-73.99997859999999,22297,24438,46735,19
277,308,40.71307916,-73.99851193,23235,23437,46672,28
278,316,40.70955958,-74.00653609,23279,23294,46573,12
279,2009,40.71117444,-73.99682619,23110,23412,46522,28
280,143,40.69239502,-73.99337909,23135,23066,46201,20
281,302,40.72082834,-73.97793172,22963,23115,46078,9
282,3301,40.7919557,-73.968087,24202,21772,45974,0
283,392,40.695065,-73.987167,22315,23306,45621,20
284,3177,40.7867947,-73.977112,24914,20653,45567,16
285,3155,40.76440023,-73.96648977,22656,22818,45474,15
286,366,40.693261,-73.968896,22401,22589,44990,1
287,264,40.70706456,-74.00731853,22125,22670,44795,12
288,3086,40.715143,-73.944507,22443,22204,44647,10
289,3507,40.8045555,-73.93968609999999,22251,22348,44599,14
290,3486,40.68841742754083,-73.98451656103134,21816,22256,44072,20
291,3457,40.763025942805186,-73.97209525108337,21947,21966,43913,4
292,376,40.70862144,-74.00722156,21804,21960,43764,12
293,527,40.744023,-73.976056,21903,21855,43758,26
294,393,40.72299208,-73.97995466,21485,22019,43504,9
295,3462,40.75118387463277,-73.97138714790343,21623,21697,43320,4
296,253,40.73543934,-73.99453948,21390,21575,42965,2
297,454,40.75455731,-73.96592976,21405,21490,42895,4
298,276,40.71748752,-74.0104554,21296,21558,42854,28
299,3136,40.766368,-73.971518,21350,21383,42733,4
300,389,40.71044554,-73.96525063,21882,20773,42655,27
301,406,40.69512845,-73.99595065,21883,20346,42229,20
